product_name,product_price,product_image,product_url
WOOL BERET WITH FAUX PEARLS,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/3739/228/802/2/w/560/3739228802_1_1_1.jpg?ts=1571310110027,https://www.zara.com/in/en/wool-beret-with-faux-pearls-p03739228.html
ANIMAL PRINT FOLDING UMBRELLA,"₹ 1,290.00",//static.zara.net/photos///2019/V/0/1/p/2912/001/600/2/w/560/2912001600_1_1_1.jpg?ts=1547817403488,https://www.zara.com/in/en/animal-print-folding-umbrella-p02912001.html
RAFFIA HAT,"₹ 2,590.00",//static.zara.net/photos///2019/V/0/1/p/0049/007/052/2/w/560/0049007052_1_1_1.jpg?ts=1551270029265,https://www.zara.com/in/en/raffia-hat-p00049007.html
LOGO TOTE BAG,₹ 990.00,//static.zara.net/photos///2019/V/0/1/p/1000/002/052/2/w/560/1000002052_1_1_1.jpg?ts=1549649065122,https://www.zara.com/in/en/logo-tote-bag-p01000002.html
LEATHER BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/2555/209/800/2/w/560/2555209800_1_1_1.jpg?ts=1571214255380,https://www.zara.com/in/en/leather-belt-p02555209.html
LEATHER BELT WITH RINGS,"₹ 2,290.00",//static.zara.net/photos///2019/I/0/1/p/2555/208/800/2/w/560/2555208800_1_1_1.jpg?ts=1571214284648,https://www.zara.com/in/en/leather-belt-with-rings-p02555208.html
FOLDABLE UMBRELLA,"₹ 1,290.00",//static.zara.net/photos///2019/V/0/1/p/2912/004/600/2/w/560/2912004600_1_1_1.jpg?ts=1550071748636,https://www.zara.com/in/en/foldable-umbrella-p02912004.html
FOLDING STRIPED UMBRELLA,"₹ 1,290.00",//static.zara.net/photos///2019/V/0/1/p/2912/003/600/2/w/560/2912003600_1_1_1.jpg?ts=1550137701298,https://www.zara.com/in/en/folding-striped-umbrella-p02912003.html
FOLDABLE UMBRELLA,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/2912/206/800/2/w/560/2912206800_1_1_1.jpg?ts=1568975296414,https://www.zara.com/in/en/foldable-umbrella-p02912206.html
FLOWER EARRINGS WITH REAL PEARLS AND GEMSTONES,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1856/060/303/7/w/560/1856060303_1_1_1.jpg?ts=1561566398438,https://www.zara.com/in/en/flower-earrings-with-real-pearls-and-gemstones-p01856060.html
PACK OF RHINESTONE HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4319/273/303/2/w/560/4319273303_1_1_1.jpg?ts=1568734428361,https://www.zara.com/in/en/pack-of-rhinestone-hair-clips-p04319273.html
PACK OF PEARL BEAD HAIR CLIPS,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/4736/203/303/2/w/560/4736203303_1_1_1.jpg?ts=1559288434801,https://www.zara.com/in/en/pack-of-pearl-bead-hair-clips-p04736203.html
WOOL BERET,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/3920/246/800/2/w/560/3920246800_1_1_1.jpg?ts=1571398033101,https://www.zara.com/in/en/wool-beret-p03920246.html
COLOURED LACE TIGHTS,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/8736/200/681/2/w/560/8736200681_1_1_1.jpg?ts=1568734432505,https://www.zara.com/in/en/coloured-lace-tights-p08736200.html
ACETATE SUNGLASSES,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/3147/201/255/2/w/560/3147201255_1_1_1.jpg?ts=1562686324915,https://www.zara.com/in/en/acetate-sunglasses-p03147201.html
GEM CHOKER NECKLACE,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1856/233/303/2/w/560/1856233303_1_1_1.jpg?ts=1563360372735,https://www.zara.com/in/en/gem-choker-necklace-p01856233.html
LIMITED EDITION DIAMANTÉ HEADBAND,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/4319/269/800/2/w/560/4319269800_1_1_1.jpg?ts=1568121655316,https://www.zara.com/in/en/limited-edition-diamant%C3%A9-headband-p04319269.html
NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/0653/221/802/2/w/560/0653221802_1_1_1.jpg?ts=1568734431439,https://www.zara.com/in/en/nautical-cap-p00653221.html
LONG GEM EARRINGS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4736/205/303/2/w/560/4736205303_1_1_1.jpg?ts=1559288478288,https://www.zara.com/in/en/long-gem-earrings-p04736205.html
METALLIC THREAD BERET,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/3739/229/800/2/w/560/3739229800_1_1_1.jpg?ts=1571825472731,https://www.zara.com/in/en/metallic-thread-beret-p03739229.html
BEJEWELLED METAL BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/1856/266/303/2/w/560/1856266303_1_1_1.jpg?ts=1570175966130,https://www.zara.com/in/en/bejewelled-metal-belt-p01856266.html
PACK OF RHINESTONE HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/279/303/3/w/560/1856279303_1_1_1.jpg?ts=1572254374769,https://www.zara.com/in/en/pack-of-rhinestone-hair-clips-p01856279.html
METALLIC LEAF EARRINGS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/201/303/2/w/560/1856201303_1_1_1.jpg?ts=1561110949421,https://www.zara.com/in/en/metallic-leaf-earrings-p01856201.html
